current_rest_link,rest_title,rest_rating,deal_name,deal_desc,full_menu_items_list,full_prices_list,full_discounts_list,full_prices_list
m8tq/chu-xin-ye-shi-fa-shi-chuang-yi-du-xiang-guo-yin-pin,初心野獅法式創意獨享鍋/飲品,4.5/5,滿$150打8折,指定店家全館消費滿$150打8折,野獅沙茶豬肉鍋,from $ 158$ 198,$ 198,0
m8tq/chu-xin-ye-shi-fa-shi-chuang-yi-du-xiang-guo-yin-pin,初心野獅法式創意獨享鍋/飲品,4.5/5,滿$150打8折,指定店家全館消費滿$150打8折,野獅番茄豬肉鍋,from $ 198$ 248,$ 248,1
m8tq/chu-xin-ye-shi-fa-shi-chuang-yi-du-xiang-guo-yin-pin,初心野獅法式創意獨享鍋/飲品,4.5/5,滿$150打8折,指定店家全館消費滿$150打8折,野獅龍骨藥膳豬肉鍋,from $ 214$ 268,$ 268,0
m8tq/chu-xin-ye-shi-fa-shi-chuang-yi-du-xiang-guo-yin-pin,初心野獅法式創意獨享鍋/飲品,4.5/5,滿$150打8折,指定店家全館消費滿$150打8折,野獅起司牛奶豬肉鍋,from $ 254$ 318,$ 318,1
m8tq/chu-xin-ye-shi-fa-shi-chuang-yi-du-xiang-guo-yin-pin,初心野獅法式創意獨享鍋/飲品,4.5/5,滿$150打8折,指定店家全館消費滿$150打8折,野獅麻辣豬肉鍋,from $ 254$ 318,$ 318,0
m8tq/chu-xin-ye-shi-fa-shi-chuang-yi-du-xiang-guo-yin-pin,初心野獅法式創意獨享鍋/飲品,4.5/5,滿$150打8折,指定店家全館消費滿$150打8折,法式招牌原味牛肉鍋,from $ 262$ 328,$ 328,1
vjqc/zong-pu-shi-nei-men-gu-zao-wei,總舖師內門古早味,4.5/5,NA,NA,香菇肉羹、飯,$ 75,NA,1
vjqc/zong-pu-shi-nei-men-gu-zao-wei,總舖師內門古早味,4.5/5,NA,NA,豬腳飯套餐,$ 85,NA,1
vjqc/zong-pu-shi-nei-men-gu-zao-wei,總舖師內門古早味,4.5/5,NA,NA,小封飯套餐,$ 85,NA,1
vjqc/zong-pu-shi-nei-men-gu-zao-wei,總舖師內門古早味,4.5/5,NA,NA,古早味油飯套餐,$ 85,NA,1
vjqc/zong-pu-shi-nei-men-gu-zao-wei,總舖師內門古早味,4.5/5,NA,NA,古早味油飯、香菇肉羹套餐,$ 140,NA,1
vjqc/zong-pu-shi-nei-men-gu-zao-wei,總舖師內門古早味,4.5/5,NA,NA,小封飯、香菇肉羹套餐,$ 140,NA,1
z2xe/ba-fang-yun-ji-gao-xiong-xin-xing-da-tong-dian,八方雲集 (高雄新興大同店),4.7/5,專區商品折扣,消費餐點金額(不含指定品項)折抵後須大於250元以上，並將指定品項加入購物車，方可享此優惠。未符合資格者，店家有權取消贈品或訂單。(此優惠活動不適用於外帶自取),招牌鍋貼,$ 68,NA,1
z2xe/ba-fang-yun-ji-gao-xiong-xin-xing-da-tong-dian,八方雲集 (高雄新興大同店),4.7/5,專區商品折扣,消費餐點金額(不含指定品項)折抵後須大於250元以上，並將指定品項加入購物車，方可享此優惠。未符合資格者，店家有權取消贈品或訂單。(此優惠活動不適用於外帶自取),韓式辣味鍋貼,$ 72,NA,1
z2xe/ba-fang-yun-ji-gao-xiong-xin-xing-da-tong-dian,八方雲集 (高雄新興大同店),4.7/5,專區商品折扣,消費餐點金額(不含指定品項)折抵後須大於250元以上，並將指定品項加入購物車，方可享此優惠。未符合資格者，店家有權取消贈品或訂單。(此優惠活動不適用於外帶自取),招牌水餃,$ 68,NA,1
z2xe/ba-fang-yun-ji-gao-xiong-xin-xing-da-tong-dian,八方雲集 (高雄新興大同店),4.7/5,專區商品折扣,消費餐點金額(不含指定品項)折抵後須大於250元以上，並將指定品項加入購物車，方可享此優惠。未符合資格者，店家有權取消贈品或訂單。(此優惠活動不適用於外帶自取),鮮蝦水餃,$ 85,NA,1
z2xe/ba-fang-yun-ji-gao-xiong-xin-xing-da-tong-dian,八方雲集 (高雄新興大同店),4.7/5,專區商品折扣,消費餐點金額(不含指定品項)折抵後須大於250元以上，並將指定品項加入購物車，方可享此優惠。未符合資格者，店家有權取消贈品或訂單。(此優惠活動不適用於外帶自取),酸辣湯,$ 40,NA,1
z2xe/ba-fang-yun-ji-gao-xiong-xin-xing-da-tong-dian,八方雲集 (高雄新興大同店),4.7/5,專區商品折扣,消費餐點金額(不含指定品項)折抵後須大於250元以上，並將指定品項加入購物車，方可享此優惠。未符合資格者，店家有權取消贈品或訂單。(此優惠活動不適用於外帶自取),玉米濃湯,$ 40,NA,1
y4jo/sun-moon-fu-gu-hong-cha-bing-gao-xiong-zheng-xing-zong-dian,Sun Moon 復古紅茶冰 (高雄正興總店),4.5/5,滿$150打8折,指定店家全館消費滿$150打8折,Set A,from $ 127$ 159,$ 159,0
y4jo/sun-moon-fu-gu-hong-cha-bing-gao-xiong-zheng-xing-zong-dian,Sun Moon 復古紅茶冰 (高雄正興總店),4.5/5,滿$150打8折,指定店家全館消費滿$150打8折,Set B,from $ 143$ 179,$ 179,0
y4jo/sun-moon-fu-gu-hong-cha-bing-gao-xiong-zheng-xing-zong-dian,Sun Moon 復古紅茶冰 (高雄正興總店),4.5/5,滿$150打8折,指定店家全館消費滿$150打8折,Set C,from $ 167$ 209,$ 209,0
y4jo/sun-moon-fu-gu-hong-cha-bing-gao-xiong-zheng-xing-zong-dian,Sun Moon 復古紅茶冰 (高雄正興總店),4.5/5,滿$150打8折,指定店家全館消費滿$150打8折,Milk Black Tea,from $ 40$ 50,$ 50,1
y4jo/sun-moon-fu-gu-hong-cha-bing-gao-xiong-zheng-xing-zong-dian,Sun Moon 復古紅茶冰 (高雄正興總店),4.5/5,滿$150打8折,指定店家全館消費滿$150打8折,Golden Crispy Fries,$ 36$ 45,$ 45,1
y4jo/sun-moon-fu-gu-hong-cha-bing-gao-xiong-zheng-xing-zong-dian,Sun Moon 復古紅茶冰 (高雄正興總店),4.5/5,滿$150打8折,指定店家全館消費滿$150打8折,Popcorn Chicken,$ 36$ 45,$ 45,1
